Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,BBANDS_compare_high_low_price,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
DGRW,2020-01-24,47.4428,0.44734677,0.00058842,0.4152,0.4183,-0.0031,1,1,-1,55.4248,0,1.4162,1,-0.3852765,39.413,0,-0.48860378,66.7418,53.3301,0.66069711,-0.13852981,0.52547392,-0.23206929,35.9033,-0.08087787,85.7143,7.1429,0.857143,0.071429,1,47.2795,47.648,48.0164,0.7369,24194213.6977,1.0,-0.00420511,47.81407943,47.81407943,47.10072625,47.2935257,222400.0,0.0,0.0,-0.44343185,-0.00928907,0.0301731,79,1.0,1.0,0.0,0.0,0.0,0.0
DGRW,2020-01-27,47.4119,0.44618609,-0.00065131,0.3223,0.3991,-0.0768,1,1,-1,-80.2291,0,-0.4833,-1,-1.34126536,19.8802,1,-0.49559282,51.7333,32.4233,0.50080275,-0.22487407,0.30959739,-0.39202627,34.6687,-0.03438681,78.5714,0.0,0.785714,0.0,1,46.5101,47.4012,48.2924,1.7823,24136919.1094,1.0,-0.00236811,46.57052373,46.78259979,46.45484187,46.58016205,243300.0,0.0,0.0,-0.71336365,-0.01508375,0.03573901,37,0.0,1.0,0.0,0.0,0.0,0.0
DGRW,2020-01-28,47.3965,0.44560763,-0.00032481,0.2804,0.3754,-0.0949,1,1,-1,-23.2742,0,0.4228,1,-1.87481895,41.8037,0,1.10278066,36.3246,23.2203,0.33664482,-0.29784877,0.21457033,-0.28383909,31.741,-0.08444793,71.4286,0.0,0.714286,0.0,1,46.3839,47.2643,48.1448,1.7609,24242164.576,0.0,0.00436035,46.73441039,47.12964763,46.69584976,47.01396942,225500.0,0.0,0.0,0.43380737,0.00931314,0.03099867,56,1.0,1.0,0.0,0.0,0.0,0.0
DGRW,2020-01-29,47.3656,0.44444695,-0.00065195,0.2344,0.3472,-0.1128,1,1,-1,-15.5789,0,0.5563,1,0.31575213,38.0445,0,-0.08992505,27.2501,26.1067,0.23996885,-0.24981693,0.24437432,0.12430503,28.6148,-0.09849091,64.2857,85.7143,0.642857,0.857143,-1,46.3142,47.0966,47.8791,1.5649,24111012.576,0.0,-0.00541008,47.16820034,47.2549599,46.88864136,46.88864136,131200.0,0.0,0.0,-0.12532806,-0.00266576,0.00588549,93,0.0,0.0,0.0,0.0,0.0,0.0
DGRW,2020-01-30,47.3309,0.44314353,-0.0007326,0.2018,0.3181,-0.1163,1,1,-1,-57.9462,0,0.597,1,0.07316196,42.0529,0,0.10536083,28.5215,36.2374,0.25351382,0.04665671,0.3489805,0.38804981,27.5745,-0.03635531,57.1429,100.0,0.571429,1.0,-1,46.4839,46.9424,47.4009,0.917,24332957.8391,1.0,0.00920514,46.63800895,46.97540522,46.4259292,46.96576691,230000.0,0.0,0.0,0.07712555,0.00164487,0.03219707,38,0.0,0.0,0.0,0.0,0.0,0.0
DGRW,2020-01-31,47.166,0.43694947,-0.00348398,0.0971,0.2739,-0.1768,1,1,-1,-148.3277,1,-1.9532,-1,-4.27169179,20.9123,1,-0.50271444,29.9998,27.6553,0.26926302,0.05183107,0.26036464,-0.23682991,28.3617,0.02854812,50.0,100.0,0.5,1.0,-1,45.9326,46.6841,47.4356,1.503,23953554.5329,1.0,-0.01559216,46.71512701,46.77296795,45.8282547,46.00177383,599700.0,0.0,0.0,-0.96399307,-0.02052544,0.13065246,19,3.0,1.0,0.0,0.0,0.0,0.0
DGRW,2020-02-03,47.0012,0.43075918,-0.00349404,0.0271,0.2245,-0.1975,1,1,-1,-127.0258,1,-0.9737,-1,-0.50148474,28.5456,1,0.36501485,29.5975,24.8999,0.26497708,-0.01341009,0.23191331,-0.0996337,29.0701,0.02497735,42.8571,92.8571,0.428571,0.928571,-1,45.7366,46.6012,47.4658,1.7292,23680210.6239,0.0,-0.01141141,46.20421386,46.55125214,46.1270926,46.16565323,334100.0,0.0,0.0,0.16387939,0.00356246,0.05992011,25,26.0,4.0,477.0,0.0,0.0,282.0
DGRW,2020-02-04,46.926,0.42793448,-0.00159996,0.0341,0.1865,-0.1523,1,1,-1,-26.0603,0,0.6388,1,-1.65605423,54.6275,0,0.91369248,30.2061,38.0631,0.27146085,0.02056255,0.36783206,0.52864469,27.2436,-0.06283088,35.7143,85.7143,0.357143,0.857143,-1,45.7471,46.5877,47.4283,1.6812,23735009.1077,0.0,0.0023141,46.7633263,47.06216563,46.7633263,46.94648743,242700.0,0.0,0.0,0.7808342,0.01691375,0.03557923,27,7.0,5.0,0.0,0.0,0.0,0.0
DGRW,2020-02-05,46.901,0.42699541,-0.00053275,0.0816,0.1655,-0.0839,1,1,-1,45.4695,0,2.1339,1,2.34048215,65.3595,0,0.19645783,43.2435,66.7676,0.41035593,0.43161481,0.66422499,0.75412933,25.0925,-0.07895799,28.5714,78.5714,0.285714,0.785714,-1,45.6074,46.7053,47.8032,2.1958,23946215.1209,0.0,0.0088985,47.26459721,47.50559557,47.15855734,47.47667694,252800.0,0.0,0.0,0.53018951,0.01129349,0.03826897,13,5.0,6.0,0.0,0.0,0.0,0.0
DGRW,2020-02-06,46.8894,0.42655969,-0.00024733,0.1294,0.1583,-0.0289,1,1,-1,74.1234,0,1.875,1,-0.12132715,67.9443,0,0.03954743,65.449,91.5163,0.64692415,0.51349914,0.91977168,0.37066931,23.6707,-0.05666235,21.4286,71.4286,0.214286,0.714286,-1,45.5146,46.8364,48.1582,2.6436,24046946.7875,0.0,0.00420658,47.65983762,47.65983762,47.48631849,47.62128067,181300.0,0.0,0.0,0.14460373,0.00304578,0.0192277,53,2.0,6.0,0.0,0.0,0.0,0.0
